TicketID,Status,Priority,Severity,Title,Description,AssignedTo,StartDate,DueDate,TargetCompletionDate,TokenEstimate,TokensBurned,Labels,BlockedBy,Blocks,Notes,Attempts,LastUpdated
TICKET-001,Complete,High,Medium,Test Trade EMA/RSI Analysis,"Implemented trend analysis with Up/Down probabilities based on combined EMA/RSI strategies. Added Test BUY/SELL buttons. Deterministic math, zero token cost.",Copilot,20/02/2026,26/02/2026,26/02/2026,8,8,"feature,completed,test-trade,trend-analysis",,,✅ Delivered. See TICKET-001_TestTrade_EMA_RSI_TrendAnalysis.md,1,2026-02-26T18:00:00
TICKET-002,Complete,High,Medium,Dashboard Balance History,Implemented BalanceHistoryService integration. Real-time account balance tracking with history visualization.,Copilot,05/03/2026,10/03/2026,10/03/2026,8,8,"feature,completed,dashboard,balance-tracking",,,✅ Delivered. BalanceHistoryService + DashboardView.,1,2026-03-10T16:00:00
TICKET-003,Backlog,Low,Low,Market Data Real-Time Streaming,"Add real-time market data streaming to Market Data view. Show bid/ask spreads, order book depth. Requires market data API integration.",Copilot,,15/05/2026,15/05/2026,12,0,"feature,future,market-data,streaming",,,Placeholder. Awaiting TopStep API capability confirmation.,0,2026-02-27T15:30:00
TICKET-004,Backlog,Low,Low,Risk Guard Position Sizing,Implement position sizing calculator based on account risk percentage. Add stop-loss suggestions. Future ML enhancement for optimal sizing.,Copilot,,20/05/2026,20/05/2026,16,0,"feature,future,risk-management,position-sizing",,,Placeholder. Requires strategy framework finalization first.,0,2026-02-27T15:30:00
TICKET-005,Backlog,Medium,High,Fix Backtest Strategy Mismatch (Backtest Page),Investigate discrepancy: RSI Reversal on MESH26 generates trades hourly in backtest but zero trades in AI Trade with same settings. Log to Backtest Page investigation queue. Verify strategy implementation consistency between backtest engine and live trading.,Copilot,,20/05/2026,20/05/2026,8,0,"bug,backtest,rsi-reversal,strategy-validation,backtest-page",TICKET-006,,Root cause analysis needed when Backtest Page rewrite (TICKET-006) is complete. Check if strategy parameters or data feeds differ between modes.,0,2026-02-27T15:30:00
TICKET-006,In Development,High,High,Backtest Page Complete Rewrite,"USER WORKFLOW SPECIFIED 2026-03-01: (1) Choose Contract → (2) Choose Strategy → (3) Auto-adjust Capital/Qty/TP/SL → (4) Download 5-min bars to SQLite → (5) Train model → (6) Run backtest → (7) Display results. Reuse ContractSelectorControl, Capital/Qty/TP/SL from AI Trade page. No account selector. Download historic bars regardless of market status. If bars unavailable, disable Run Backtest button. Retain date range and confidence selectors from current.",Claude Sonnet 4.6,01/03/2026,30/05/2026,30/05/2026,13,0,"feature,backtest-page,ui-refactor,single-strategy",,TICKET-005,USER WORKFLOW: Reuse AI Trade components. Bar download to SQLite. Auto-adjust strategy parameters. Train ML if applicable. Results in current backtest format. Unblocks TICKET-005 when complete.,0,2026-03-01T20:15:00
TICKET-007,Backlog,Medium,Medium,Multi-Strategy Concurrent Trading,"Design & implement capability to run multiple strategies simultaneously on same contract. Workflow: (1) Backtest all strategies against contract (e.g., MGCJ26), (2) Filter strategies with >65% win rate, (3) Click 'Trade' to run selected strategies concurrently. Analysis needed on handling conflicting signals and position overlap.",Copilot,,01/05/2026,01/05/2026,20,0,"feature,ai-trade,multi-strategy,requires-design-review",,,Needs stakeholder review before coding. Risk: competing orders. Opportunity: diversified signals.,0,2026-02-27T15:30:00
TICKET-008,Cancelled,Medium,Low,Strategy Confirmation Filters,Implement confirmation filter logic: RSI oversold + price closes above/below swing high/low OR RSI crosses back above threshold. Expected to filter 20-30% of losing trades on 5-min bars. Apply to all RSI-based strategies.,Copilot,,20/04/2026,,12,0,"feature,strategy-enhancement,rsi-confirmation,filter",,,DUPLICATE — merged into backtest validation workflow and TICKET-020 economic calendar filter.,0,2026-02-27T15:30:00
TICKET-009,For Development,Medium,Medium,Trailing Take Profit Implementation,"Implement intelligent trailing take profit (TP) in AI Trade tab. Monitor every 5 seconds, adjust TP dynamically based on candle movement. Research required: Does Claude API integration needed for intelligent TP adjustment? Current: static TP only.",Copilot,,10/04/2026,10/04/2026,16,0,"feature,ai-trade,trailing-tp,research-required",,,Needs research phase on AI API requirements. Profit optimization feature.,0,2026-02-27T15:30:00
TICKET-010,For Development,High,Critical,Fix Stop Loss Hardcoding Bug,"Critical: TP and SL are hardcoded in API calls instead of applied once post-trade. If app crashes, trade runs endlessly without stop loss. Example: Double Bottom RSI trade (2026-02-25 11:50:16) had SL/TP = 0.00. Implement SL/TP persistence in database and risk guard.",Claude Sonnet 4.6,,10/03/2026,10/03/2026,18,0,"bug,critical,risk-management,stop-loss",,,🔴 CRITICAL RISK. Data shows SL/TP sometimes zero. Affects all trades. Urgent fix required.,0,2026-02-27T15:30:00
TICKET-011,Complete,High,High,AI Trade: Add Confidence Selector,Confidence threshold selector (MinConfidencePct) implemented inline in Panel 1 Row 2 alongside Capital/Qty/TP/SL. Default 75%. Applied by StrategyExecutionEngine on every signal evaluation. Superseded by TICKET-023 which narrowed the scope and delivered it.,Claude Sonnet 4.6,02/03/2026,08/04/2026,02/03/2026,20,2,"feature,ai-trade,confidence-selector,ui,complete",TICKET-006,,✅ Complete. Implemented as part of TICKET-023. MinConfidencePct TextBox in AiTradingView.xaml + VM property + engine integration. Build 0 errors 0 warnings.,1,2026-03-02T00:00:00
TICKET-012,For Development,High,High,Fix 30-Second Bar Check vs 5-Minute Strategy,AI Trade polls every 30 seconds but strategy is 5-minute based. Optimize polling: align evaluation to 5-minute bar completion. Reduce unnecessary evaluations and API calls.,Claude Haiku 4.5,,03/01/2026,01/03/2026,8,0,"optimization,ai-trade,polling,bar-alignment",,,"Simple fix: query bar timestamp, check if 5-min boundary crossed. Reduces computational load. URGENT: Performance optimization for live polling.",0,2026-02-27T15:30:00
TICKET-013,Complete,High,Medium,Add Balance & Daily P&L Display,Add real-time account balance and daily P&L display to AI Trade tab. Refresh every 5 minutes (sync with bar data). Balance may change due to direct TopStepX platform trades.,Copilot,,08/04/2026,08/04/2026,8,8,"feature,ai-trade,balance-display,dashboard",,,✅ No longer needed - superseded by TICKET-021,0,2026-02-27T15:30:00
TICKET-014,Complete,Medium,Medium,Redesign AI Trade Layout,Replaced 8 individual strategy buttons with 4 buttons (1 active EMA/RSI Combined + 3 In Dev placeholders). Removed parse-own-strategy UI (code preserved). Replaced AI Review panel with Confidence Check panel (Claude Haiku). New EmaRsiCombined indicator type and EmaRsiWeightedScore condition type added to Core enums and executed by StrategyExecutionEngine. One-click activate — no parse step required. Economic calendar filter logged as TICKET-020.,Claude,28/02/2026,10/04/2026,01/03/2026,14,14,"ui,ai-trade,layout-redesign,ema-rsi,confidence-check",,,✅ Build 0 errors 0 warnings. See TICKET-014_.Redesign_AI_Trade_Layout.md.,1,2026-03-01T00:00:00
TICKET-015,For Development,High,Medium,Add Trade Execution Sound Alert,"Play loud, long system sound when trade is executed in AI Trade tab. Generic system sound acceptable. Provides auditory feedback of live trading activity.",Claude Haiku 4.5,,03/01/2026,01/03/2026,2,0,"feature,ai-trade,sound-alert,ux",,,Simple WPF MediaElement implementation. Allow volume control in settings. UX feedback feature — quick win.,0,2026-02-27T15:30:00
TICKET-016,For Development,High,Critical,Fix Tab Switching Process Persistence,"When clicking out of AI Trade tab, process appears to stop but continues in background (visible in Immediate Window). Tab resets to default (idle, no contract loaded) while monitoring continues. Fix: ensure clicking tab away cleanly stops process OR maintains state on return.",Claude Sonnet 4.6,,06/03/2026,06/03/2026,13,0,"bug,ai-trade,process-lifecycle,state-management",,,🔴 CRITICAL. Major UX issue. Confusing state transitions. Check AppBootstrapper and ViewModel lifecycle.,0,2026-02-27T15:30:00
TICKET-017,For Development,High,Critical,Implement Complete Stop on Stop Button,"When user clicks 'Stop' in AI Trade, process continues collecting bars in background. Implement complete shutdown: stop bar collection, cancel pending tasks, reset UI state.",Claude Sonnet 4.6,,08/04/2026,08/04/2026,10,0,"bug,ai-trade,background-tasks,cleanup",,,🔴 CRITICAL. Orphaned background tasks consume resources. CancellationToken handling issue. Audit async task lifecycle.,0,2026-02-27T15:30:00
TICKET-018,For Development,High,Critical,Cancel Monitoring on Rejected Trade,"If trade is rejected by TopStep API, immediately cancel monitoring/evaluation loop. Currently: rejection leaves monitoring running, creating stale state.",Claude Sonnet 4.6,,06/03/2026,06/03/2026,8,0,"bug,ai-trade,error-handling,trade-rejection",,,🔴 CRITICAL. Stale monitoring state after API rejection. State machine fix. Test with simulated API rejection.,0,2026-02-27T15:30:00
TICKET-019,Complete,Low,Low,Fix Contract ID Combo Box font colour issue,Root cause (definitive): WPF Aero2 theme ControlTemplate renders selected text via system brushes — Foreground on element or Style setters has no effect regardless of priority. Fix: replaced ComboBoxes3.xaml with a full ControlTemplate for both ComboBox and ComboBoxItem. TextElement.Foreground and TextBlock.Foreground set directly on ContentPresenter inside template so inherited value is a local attached-property on the presenter itself — system theme cannot reach it. Removed conflicting local Foreground/Background overrides from ContractSelectorControl.xaml.,Claude,15/02/2026,12/04/2026,01/03/2026,16,16,"ui,combobox,styling,regression",,,✅ Attempt 8 — full ControlTemplate approach. Build 0 errors 0 warnings. Awaiting visual confirmation.,8,2026-03-01T00:00:00
TICKET-020,Backlog,Low,High,Economic Calendar Filter for AI Trade,"Suppress entry signals 30 minutes before high-impact US economic events (NFP, CPI, FOMC, PPI, GDP) and during low-volume 02:00-04:00 UTC window. Log suppression reason. Option A (hardcoded calendar) recommended as starting point. Filter enable/disable via TradingSettings.",Claude Sonnet 4.6,,01/05/2026,01/05/2026,10,0,"feature,ai-trade,calendar-filter,risk-management",,,Spun off from TICKET-014. See TICKET-020_Economic_Calendar_Filter.md for full spec. Lower priority - risk mitigation feature.,0,2026-03-01T00:00:00
TICKET-021,Complete,Low,Medium,Default Practice Account Displayed on Load,On first load the Account ID ComboBox appears blank even though the PRAC account is pre-selected internally. Fix: re-assign SelectedAccount after Accounts collection is populated so WPF sees a reference that exists in ItemsSource. Also increase Account ComboBox FontSize to 26 on Dashboard and AI Trade tab for visibility.,Claude Haiku 4.5,01/03/2026,15/04/2026,01/03/2026,3,3,"bug,ui,combobox,dashboard,ai-trade",,,✅ UNIT TESTING COMPLETE: (1) Fixed DashboardViewModel.vb line 314: use _accounts reference instead of accountList. (2) DashboardView.xaml: ComboBox FontSize = 26. (3) AiTradingView.xaml: ComboBox FontSize = 26. Build: 0 errors 0 warnings. Awaiting user SIT.,1,2026-03-01T00:00:00
TICKET-022,Complete,Low,Medium,AI Trade Tab UI Consolidation and Layout Optimization,Objectives achieved via TICKET-025 UAT amendments: (1) Confidence output and trade history consolidated into single RESULTS panel. (2) Check Confidence button moved to control bar. (3) Monitoring log moved into scrollable area directly below RESULTS. (4) Strategy description collapses when monitoring starts. (5) Bottom bar simplified to control bar only. Start/Stop remain in control bar by design.,Copilot,02/03/2026,20/04/2026,02/03/2026,4,0,"feature,ui,ai-trade,layout-optimization,complete",,TICKET-025,✅ Complete. All core consolidation objectives delivered through TICKET-025 + UAT amendments. See AiTradingView.xaml. Build 0 errors 0 warnings.,1,2026-03-02T00:00:00
TICKET-023,Complete,High,Medium,Add Confidence Score to AI Trade Page,MinConfidencePct TextBox added inline to Panel 1 Row 2 (alongside Capital/Qty/TP/SL). Default 75. VM property with 0-100 clamp. ExecuteStart sets _currentStrategy.MinConfidencePct. StrategyExecutionEngine reads it as the signal threshold for EmaRsiWeightedScore evaluation.,Claude Haiku,02/03/2026,09/03/2026,02/03/2026,2,2,"feature,ai-trade,confidence-threshold,ui-enhancement,complete",,TICKET-011,✅ Complete. MinConfidencePct in AiTradingView.xaml + AiTradingViewModel.vb + StrategyDefinition.vb + StrategyExecutionEngine.vb. Supersedes TICKET-011. Build 0 errors 0 warnings.,1,2026-03-02T00:00:00
TICKET-024,Complete,High,Medium,AI Trade Strategy Summary and Recommended Settings,Clicking EMA/RSI Combined strategy card: (1) Populates StrategyNakedDescription with ≤200-word Naked-Trader-style prose. (2) Shows WHAT THIS STRATEGY DOES panel (Panel 2b) — visible only when strategy selected and NOT monitoring. (3) Auto-fills TP=40/SL=20/Qty=1 as strategy-recommended defaults. Panel collapses when monitoring starts (StrategyDescriptionPanelVisible property).,Claude Sonnet 4.6,02/03/2026,09/03/2026,02/03/2026,2,3,"feature,ai-trade,ux-enhancement,strategy-summary,plain-english,complete",,,✅ Complete. StrategyNakedDescription + HasStrategyDescription + StrategyDescriptionPanelVisible in VM. Panel 2b in AiTradingView.xaml. ApplyEmaRsiCombined() sets prose and auto-fills defaults. Build 0 errors 0 warnings.,1,2026-03-02T00:00:00
TICKET-025,Complete,High,High,AI Trade Performance Panel,Implemented: (1) RESULTS panel consolidates confidence output + TRADE HISTORY DataGrid + placeholder. (2) TradeRowViewModel with IsInProgress/Result/ResultForeground/ExternalOrderId. (3) TradeOpened/TradeClosed events on StrategyExecutionEngine. (4) Pulsing amber Ellipse Storyboard for in-progress rows. (5) TP/SL result in green/red with P&L. (6) TX Order column (TopStepX ExternalOrderId). (7) HasTradeRows/HasConfidenceResult/HasNoResults VM properties. (8) Check Confidence button moved to control bar. (9) Strategy description collapses on monitoring start. (10) Monitoring log moved into scrollable area below Results. (11) Bottom bar simplified to control bar only.,Claude Sonnet 4.6,02/03/2026,01/04/2026,02/03/2026,6,18,"feature,ai-trade,ui-enhancement,trade-history,performance,complete",,TICKET-026,✅ Complete. Files: TradeRowViewModel.vb (new) + TradeOpenedEventArgs/TradeClosedEventArgs + StrategyDefinition.TickValue + StrategyExecutionEngine (events+fields) + AiTradingViewModel (TradeRows+handlers) + AiTradingView.xaml (Results panel+DataGrid+log). Build 0 errors 0 warnings.,4,2026-03-02T00:00:00
TICKET-026,Backlog,Low,Low,Contract Friendly Names from API,Replace hardcoded contract display names (M.Gold/M.Nasdaq/M.Oil/M.S&P) with API-sourced metadata. IContractMetadataService fetches and caches contract names from ProjectX /api/Contract/search endpoint. Hardcoded fallback retained if API unavailable.,Claude Haiku 4.5,,01/06/2026,01/06/2026,2,0,"feature,ai-trade,contracts,api-integration,low-priority",TICKET-025,,See TICKET-026_Contract_Friendly_Names_from_API.md. Do not start until TICKET-025 is Complete.,0,2026-03-02T12:00:00
TICKET-027,Complete,High,Critical,Fix Position Close Detection — Poll TopStepX API Instead of Local Database,Local DB Orders table is never updated when exchange fills/cancels bracket orders. GetOpenOrdersAsync always returns both TP+SL as Working so _positionOpen never resets. Added GetLiveWorkingOrdersAsync to IOrderService that calls SearchOrdersAsync (TopStepX API) directly. DoCheckAsync now uses API ground truth. Note: local OrderStatus enum diverges from API status codes at value >=3.,GitHub Copilot,02/03/2026,02/03/2026,02/03/2026,2,2,"bug,ai-trade,position-management,critical,data-integrity","UAT-BUG-007,UAT-BUG-008",TICKET-025,See TICKET-027_Fix_Position_Close_Detection_API_Poll.md. 3 files changed: IOrderService + OrderService + StrategyExecutionEngine. Build 0 errors 0 warnings.,1,2026-03-02T00:00:00
